A00,Cholera
T61774,"Toxic effect of unspecified seafood, undetermined"
T61781,"Toxic effect of ingested mushrooms, accidental (unintentional)"
T61782,"Toxic effect of ingested mushrooms, intentional self-harm"
T61783,"Toxic effect of ingested mushrooms, assault"
T61784,"Toxic effect of ingested mushrooms, undetermined"
T618X1,"Toxic effect of ingested berries, accidental (unintentional)"
T618X2,"Toxic effect of ingested berries, intentional self-harm"
T618X3,"Toxic effect of ingested berries, assault"
T618X4,"Toxic effect of ingested berries, undetermined"
T6191,"Toxic effect of other ingested (parts of) plant(s), accidental (unintentional)"
T6192,"Toxic effect of other ingested (parts of) plant(s), intentional self-harm"
T6193,"Toxic effect of other ingested (parts of) plant(s), assault"
T6194,"Toxic effect of other ingested (parts of) plant(s), undetermined"
T620X1,"Toxic effect of other specified noxious substances eaten as food, accidental (unintentional)"
T620X2,"Toxic effect of other specified noxious substances eaten as food, intentional self-harm"
T620X3,"Toxic effect of other specified noxious substances eaten as food, assault"
T620X4,"Toxic effect of other specified noxious substances eaten as food, undetermined"
T621X1,"Toxic effect of unspecified noxious substance eaten as food, accidental (unintentional)"
T621X2,"Toxic effect of unspecified noxious substance eaten as food, intentional self-harm"
T621X3,"Toxic effect of unspecified noxious substance eaten as food, assault"
T621X4,"Toxic effect of unspecified noxious substance eaten as food, undetermined"
T622X1,"Toxic effect of unspecified snake venom, accidental (unintentional)"
T622X2,"Toxic effect of unspecified snake venom, intentional self-harm"
T622X3,"Toxic effect of unspecified snake venom, assault"
T622X4,"Toxic effect of unspecified snake venom, undetermined"
T628X1,"Toxic effect of rattlesnake venom, accidental (unintentional)"
T628X2,"Toxic effect of rattlesnake venom, intentional self-harm"
T628X3,"Toxic effect of rattlesnake venom, assault"
T628X4,"Toxic effect of rattlesnake venom, undetermined"
T6291,"Toxic effect of coral snake venom, accidental (unintentional)"
T6292,"Toxic effect of coral snake venom, intentional self-harm"
T6293,"Toxic effect of coral snake venom, assault"
T6294,"Toxic effect of coral snake venom, undetermined"
T63001,"Toxic effect of taipan venom, accidental (unintentional)"
T63002,"Toxic effect of taipan venom, intentional self-harm"
T63003,"Toxic effect of taipan venom, assault"
T63004,"Toxic effect of taipan venom, undetermined"
T63011,"Toxic effect of cobra venom, accidental (unintentional)"
T63012,"Toxic effect of cobra venom, intentional self-harm"
T63013,"Toxic effect of cobra venom, assault"
T63014,"Toxic effect of cobra venom, undetermined"
T63021,"Toxic effect of venom of other North and South American snake, accidental (unintentional)"
T63022,"Toxic effect of venom of other North and South American snake, intentional self-harm"
T63023,"Toxic effect of venom of other North and South American snake, assault"
T63024,"Toxic effect of venom of other North and South American snake, undetermined"
T63031,"Toxic effect of venom of other Australian snake, accidental (unintentional)"
T63032,"Toxic effect of venom of other Australian snake, intentional self-harm"
T63033,"Toxic effect of venom of other Australian snake, assault"
T63034,"Toxic effect of venom of other Australian snake, undetermined"
T63041,"Toxic effect of venom of other African and Asian snake, accidental (unintentional)"
T63042,"Toxic effect of venom of other African and Asian snake, intentional self-harm"
T63043,"Toxic effect of venom of other African and Asian snake, assault"
T63044,"Toxic effect of venom of other African and Asian snake, undetermined"
T63061,"Toxic effect of venom of other snake, accidental (unintentional)"
T63062,"Toxic effect of venom of other snake, intentional self-harm"
T63063,"Toxic effect of venom of other snake, assault"
T63064,"Toxic effect of venom of other snake, undetermined"
T63071,"Toxic effect of venom of gila monster, accidental (unintentional)"
T63072,"Toxic effect of venom of gila monster, intentional self-harm"
T63073,"Toxic effect of venom of gila monster, assault"
T63074,"Toxic effect of venom of gila monster, undetermined"
T63081,"Toxic effect of venom of other venomous lizard, accidental (unintentional)"
T63082,"Toxic effect of venom of other venomous lizard, intentional self-harm"
T63083,"Toxic effect of venom of other venomous lizard, assault"
T63084,"Toxic effect of venom of other venomous lizard, undetermined"
T63091,"Toxic effect of venom of other reptiles, accidental (unintentional)"
T63092,"Toxic effect of venom of other reptiles, intentional self-harm"
T63093,"Toxic effect of venom of other reptiles, assault"
T63094,"Toxic effect of venom of other reptiles, undetermined"
T63111,"Toxic effect of venom of scorpion, accidental (unintentional)"
T63112,"Toxic effect of venom of scorpion, intentional self-harm"
T63113,"Toxic effect of venom of scorpion, assault"
T63114,"Toxic effect of venom of scorpion, undetermined"
T63121,"Toxic effect of unspecified spider venom, accidental (unintentional)"
T63122,"Toxic effect of unspecified spider venom, intentional self-harm"
T63123,"Toxic effect of unspecified spider venom, assault"
T63124,"Toxic effect of unspecified spider venom, undetermined"
T63191,"Toxic effect of venom of black widow spider, accidental (unintentional)"
T63192,"Toxic effect of venom of black widow spider, intentional self-harm"
T63193,"Toxic effect of venom of black widow spider, assault"
T63194,"Toxic effect of venom of black widow spider, undetermined"
T632X1,"Toxic effect of venom of tarantula, accidental (unintentional)"
T632X2,"Toxic effect of venom of tarantula, intentional self-harm"
T632X3,"Toxic effect of venom of tarantula, assault"
T632X4,"Toxic effect of venom of tarantula, undetermined"
T63301,"Toxic effect of venom of brown recluse spider, accidental (unintentional)"
T63302,"Toxic effect of venom of brown recluse spider, intentional self-harm"
T63303,"Toxic effect of venom of brown recluse spider, assault"
T63304,"Toxic effect of venom of brown recluse spider, undetermined"
T63311,"Toxic effect of venom of other spider, accidental (unintentional)"
T63312,"Toxic effect of venom of other spider, intentional self-harm"
T63313,"Toxic effect of venom of other spider, assault"
T63314,"Toxic effect of venom of other spider, undetermined"
T63321,"Toxic effect of venom of centipedes and venomous millipedes, accidental (unintentional)"
T63322,"Toxic effect of venom of centipedes and venomous millipedes, intentional self-harm"
T63323,"Toxic effect of venom of centipedes and venomous millipedes, assault"
T63324,"Toxic effect of venom of centipedes and venomous millipedes, undetermined"
T63331,"Toxic effect of venom of ants, accidental (unintentional)"
T63332,"Toxic effect of venom of ants, intentional self-harm"
T63333,"Toxic effect of venom of ants, assault"
T63334,"Toxic effect of venom of ants, undetermined"
T63391,"Toxic effect of venom of caterpillars, accidental (unintentional)"
T63392,"Toxic effect of venom of caterpillars, intentional self-harm"
T63393,"Toxic effect of venom of caterpillars, assault"
T63394,"Toxic effect of venom of caterpillars, undetermined"
T63411,"Toxic effect of venom of bees, accidental (unintentional)"
T63412,"Toxic effect of venom of bees, intentional self-harm"
T63413,"Toxic effect of venom of bees, assault"
T63414,"Toxic effect of venom of bees, undetermined"
T63421,"Toxic effect of venom of hornets, accidental (unintentional)"
T63422,"Toxic effect of venom of hornets, intentional self-harm"
T63423,"Toxic effect of venom of hornets, assault"
T63424,"Toxic effect of venom of hornets, undetermined"
T63431,"Toxic effect of venom of wasps, accidental (unintentional)"
T63432,"Toxic effect of venom of wasps, intentional self-harm"
T63433,"Toxic effect of venom of wasps, assault"
T63434,"Toxic effect of venom of wasps, undetermined"
T63441,"Toxic effect of venom of other arthropod, accidental (unintentional)"
T63442,"Toxic effect of venom of other arthropod, intentional self-harm"
T63443,"Toxic effect of venom of other arthropod, assault"
T63444,"Toxic effect of venom of other arthropod, undetermined"
T63451,"Toxic effect of contact with stingray, accidental (unintentional)"
T63452,"Toxic effect of contact with stingray, intentional self-harm"
T63453,"Toxic effect of contact with stingray, assault"
T63454,"Toxic effect of contact with stingray, undetermined"
T63461,"Toxic effect of contact with other venomous fish, accidental (unintentional)"
T63462,"Toxic effect of contact with other venomous fish, intentional self-harm"
T63463,"Toxic effect of contact with other venomous fish, assault"
T63464,"Toxic effect of contact with other venomous fish, undetermined"
T63481,"Toxic effect of contact with Portugese Man-o-war, accidental (unintentional)"
T63482,"Toxic effect of contact with Portugese Man-o-war, intentional self-harm"
T63483,"Toxic effect of contact with Portugese Man-o-war, assault"
T63484,"Toxic effect of contact with Portugese Man-o-war, undetermined"
T63511,"Toxic effect of contact with other jellyfish, accidental (unintentional)"
T63512,"Toxic effect of contact with other jellyfish, intentional self-harm"
T63513,"Toxic effect of contact with other jellyfish, assault"
T63514,"Toxic effect of contact with other jellyfish, undetermined"
T63591,"Toxic effect of contact with sea anemone, accidental (unintentional)"
T63592,"Toxic effect of contact with sea anemone, intentional self-harm"
T63593,"Toxic effect of contact with sea anemone, assault"
T63594,"Toxic effect of contact with sea anemone, undetermined"
T63611,"Toxic effect of contact with other venomous marine animals, accidental (unintentional)"
T63612,"Toxic effect of contact with other venomous marine animals, intentional self-harm"
T63613,"Toxic effect of contact with other venomous marine animals, assault"
T63614,"Toxic effect of contact with other venomous marine animals, undetermined"
T63621,"Toxic effect of contact with venomous marine plant, accidental (unintentional)"
T63622,"Toxic effect of contact with venomous marine plant, intentional self-harm"
T63623,"Toxic effect of contact with venomous marine plant, assault"
T63624,"Toxic effect of contact with venomous marine plant, undetermined"
T63631,"Toxic effect of contact with other venomous plant, accidental (unintentional)"
T63632,"Toxic effect of contact with other venomous plant, intentional self-harm"
T63633,"Toxic effect of contact with other venomous plant, assault"
T63634,"Toxic effect of contact with other venomous plant, undetermined"
T63691,"Toxic effect of contact with venomous frog, accidental (unintentional)"
T63692,"Toxic effect of contact with venomous frog, intentional self-harm"
T63693,"Toxic effect of contact with venomous frog, assault"
T63694,"Toxic effect of contact with venomous frog, undetermined"
T63711,"Toxic effect of contact with venomous toad, accidental (unintentional)"
T63712,"Toxic effect of contact with venomous toad, intentional self-harm"
T63713,"Toxic effect of contact with venomous toad, assault"
T63714,"Toxic effect of contact with venomous toad, undetermined"
T63791,"Toxic effect of contact with other venomous amphibian, accidental (unintentional)"
T63792,"Toxic effect of contact with other venomous amphibian, intentional self-harm"
T63793,"Toxic effect of contact with other venomous amphibian, assault"
T63794,"Toxic effect of contact with other venomous amphibian, undetermined"
T63811,"Toxic effect of contact with other venomous animals, accidental (unintentional)"
T63812,"Toxic effect of contact with other venomous animals, intentional self-harm"
T63813,"Toxic effect of contact with other venomous animals, assault"
T63814,"Toxic effect of contact with other venomous animals, undetermined"
T63821,"Toxic effect of contact with unspecified venomous animal, accidental (unintentional)"
T63822,"Toxic effect of contact with unspecified venomous animal, intentional self-harm"
T63823,"Toxic effect of contact with unspecified venomous animal, assault"
T63824,"Toxic effect of contact with unspecified venomous animal, undetermined"
T63831,"Toxic effect of aflatoxin, accidental (unintentional)"
T63832,"Toxic effect of aflatoxin, intentional self-harm"
T63833,"Toxic effect of aflatoxin, assault"
T63834,"Toxic effect of aflatoxin, undetermined"
T63891,"Toxic effect of other mycotoxin food contaminants, accidental (unintentional)"
T63892,"Toxic effect of other mycotoxin food contaminants, intentional self-harm"
T63893,"Toxic effect of other mycotoxin food contaminants, assault"
T63894,"Toxic effect of other mycotoxin food contaminants, undetermined"
T6391,"Toxic effect of cyanides, accidental (unintentional)"
T6392,"Toxic effect of cyanides, intentional self-harm"
